onset	duration	sample	value	trial_type	sequence_id	item_number	list	task_type	condition	expected_article	unexpected_article	expected_noun	unexpected_noun	expected_cloze	unexpected_cloze	plausibility_expected	plausibility_unexpected	sentence_context	sentence_ending	has_question	question_text	question_answer
3.130859375	0.2	1603	255	filler_word	n/a	n/a	n/a	delong	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3.66015625	0.2	1874	255	filler_word	n/a	n/a	n/a	delong	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4.19140625	0.2	2146	255	filler_word	n/a	n/a	n/a	delong	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4.72265625	0.2	2418	255	filler_word	n/a	n/a	n/a	delong	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5.251953125	0.2	2689	255	filler_word	n/a	n/a	n/a	delong	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5.783203125	0.2	2961	255	filler_word	n/a	n/a	n/a	delong	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
6.314453125	0.2	3233	255	filler_word	n/a	n/a	n/a	delong	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
6.84375	0.2	3504	255	filler_word	n/a	n/a	n/a	delong	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.375	0.2	3776	255	filler_word	n/a	n/a	n/a	delong	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.90625	0.2	4048	255	filler_word	n/a	n/a	n/a	delong	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
11.703125	0.0	5992	251	question	n/a	n/a	n/a	delong	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
20.671875	0.2	10584	255	filler_word	n/a	n/a	n/a	delong	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
21.201171875	0.2	10855	255	filler_word	n/a	n/a	n/a	delong	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
21.732421875	0.2	11127	255	filler_word	n/a	n/a	n/a	delong	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
22.26171875	0.2	11398	255	filler_word	n/a	n/a	n/a	delong	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
22.79296875	0.2	11670	255	filler_word	n/a	n/a	n/a	delong	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
23.32421875	0.2	11942	255	filler_word	n/a	n/a	n/a	delong	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
23.853515625	0.2	12213	255	filler_word	n/a	n/a	n/a	delong	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
24.384765625	0.2	12485	255	filler_word	n/a	n/a	n/a	delong	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
70.291015625	0.2	35989	255	filler_word	n/a	n/a	n/a	delong	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
70.8203125	0.2	36260	255	filler_word	n/a	n/a	n/a	delong	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
71.3515625	0.2	36532	255	filler_word	n/a	n/a	n/a	delong	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
71.8828125	0.2	36804	255	filler_word	n/a	n/a	n/a	delong	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
72.4140625	0.2	37076	255	filler_word	n/a	n/a	n/a	delong	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
72.943359375	0.2	37347	255	filler_word	n/a	n/a	n/a	delong	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
73.474609375	0.2	37619	255	filler_word	n/a	n/a	n/a	delong	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
74.00390625	0.2	37890	255	filler_word	n/a	n/a	n/a	delong	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
74.53515625	0.2	38162	255	filler_word	n/a	n/a	n/a	delong	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
75.064453125	0.2	38433	255	filler_word	n/a	n/a	n/a	delong	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
75.595703125	0.2	38705	203	a_unexpected	n/a	n/a	n/a	delong	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
75.912109375	0.0	38867	109	item_marker	0	9	1	delong	unexpected	an	a	echo	bird	75	2	5.9	3.83	Surrounded by mountains, Lola shouted across the valley and heard	in the distance.	False	n/a	n/a
75.966796875	0.0	38895	2	cloze_marker	0	9	1	delong	unexpected	an	a	echo	bird	75	2	5.9	3.83	Surrounded by mountains, Lola shouted across the valley and heard	in the distance.	False	n/a	n/a
76.17578125	0.2	39002	206	noun_unexpected	0	9	1	delong	unexpected	an	a	echo	bird	75	2	5.9	3.83	Surrounded by mountains, Lola shouted across the valley and heard	in the distance.	False	n/a	n/a
76.490234375	0.0	39163	109	item_marker	1	9	1	delong	unexpected	an	a	echo	bird	75	2	5.9	3.83	Surrounded by mountains, Lola shouted across the valley and heard	in the distance.	False	n/a	n/a
76.546875	0.0	39192	3	cloze_marker	1	9	1	delong	unexpected	an	a	echo	bird	75	2	5.9	3.83	Surrounded by mountains, Lola shouted across the valley and heard	in the distance.	False	n/a	n/a
76.755859375	0.2	39299	255	filler_word	1	9	1	delong	unexpected	an	a	echo	bird	75	2	5.9	3.83	Surrounded by mountains, Lola shouted across the valley and heard	in the distance.	False	n/a	n/a
77.287109375	0.2	39571	255	filler_word	1	9	1	delong	unexpected	an	a	echo	bird	75	2	5.9	3.83	Surrounded by mountains, Lola shouted across the valley and heard	in the distance.	False	n/a	n/a
77.81640625	0.2	39842	208	final_unexpected	1	9	1	delong	unexpected	an	a	echo	bird	75	2	5.9	3.83	Surrounded by mountains, Lola shouted across the valley and heard	in the distance.	False	n/a	n/a
81.3828125	0.2	41668	255	filler_word	1	9	1	delong	unexpected	an	a	echo	bird	75	2	5.9	3.83	Surrounded by mountains, Lola shouted across the valley and heard	in the distance.	False	n/a	n/a
81.912109375	0.2	41939	255	filler_word	1	9	1	delong	unexpected	an	a	echo	bird	75	2	5.9	3.83	Surrounded by mountains, Lola shouted across the valley and heard	in the distance.	False	n/a	n/a
82.443359375	0.2	42211	255	filler_word	1	9	1	delong	unexpected	an	a	echo	bird	75	2	5.9	3.83	Surrounded by mountains, Lola shouted across the valley and heard	in the distance.	False	n/a	n/a
82.97265625	0.2	42482	255	filler_word	1	9	1	delong	unexpected	an	a	echo	bird	75	2	5.9	3.83	Surrounded by mountains, Lola shouted across the valley and heard	in the distance.	False	n/a	n/a
83.50390625	0.2	42754	255	filler_word	1	9	1	delong	unexpected	an	a	echo	bird	75	2	5.9	3.83	Surrounded by mountains, Lola shouted across the valley and heard	in the distance.	False	n/a	n/a
84.03515625	0.2	43026	255	filler_word	1	9	1	delong	unexpected	an	a	echo	bird	75	2	5.9	3.83	Surrounded by mountains, Lola shouted across the valley and heard	in the distance.	False	n/a	n/a
84.564453125	0.2	43297	255	filler_word	1	9	1	delong	unexpected	an	a	echo	bird	75	2	5.9	3.83	Surrounded by mountains, Lola shouted across the valley and heard	in the distance.	False	n/a	n/a
85.095703125	0.2	43569	255	filler_word	1	9	1	delong	unexpected	an	a	echo	bird	75	2	5.9	3.83	Surrounded by mountains, Lola shouted across the valley and heard	in the distance.	False	n/a	n/a
85.626953125	0.2	43841	255	filler_word	1	9	1	delong	unexpected	an	a	echo	bird	75	2	5.9	3.83	Surrounded by mountains, Lola shouted across the valley and heard	in the distance.	False	n/a	n/a
86.15625	0.2	44112	255	filler_word	1	9	1	delong	unexpected	an	a	echo	bird	75	2	5.9	3.83	Surrounded by mountains, Lola shouted across the valley and heard	in the distance.	False	n/a	n/a
86.6875	0.2	44384	255	filler_word	1	9	1	delong	unexpected	an	a	echo	bird	75	2	5.9	3.83	Surrounded by mountains, Lola shouted across the valley and heard	in the distance.	False	n/a	n/a
87.216796875	0.2	44655	255	filler_word	1	9	1	delong	unexpected	an	a	echo	bird	75	2	5.9	3.83	Surrounded by mountains, Lola shouted across the valley and heard	in the distance.	False	n/a	n/a
87.748046875	0.2	44927	255	filler_word	1	9	1	delong	unexpected	an	a	echo	bird	75	2	5.9	3.83	Surrounded by mountains, Lola shouted across the valley and heard	in the distance.	False	n/a	n/a
88.279296875	0.2	45199	255	filler_word	1	9	1	delong	unexpected	an	a	echo	bird	75	2	5.9	3.83	Surrounded by mountains, Lola shouted across the valley and heard	in the distance.	False	n/a	n/a
88.80859375	0.2	45470	255	filler_word	1	9	1	delong	unexpected	an	a	echo	bird	75	2	5.9	3.83	Surrounded by mountains, Lola shouted across the valley and heard	in the distance.	False	n/a	n/a
89.33984375	0.2	45742	255	filler_word	1	9	1	delong	unexpected	an	a	echo	bird	75	2	5.9	3.83	Surrounded by mountains, Lola shouted across the valley and heard	in the distance.	False	n/a	n/a
89.87109375	0.2	46014	255	filler_word	1	9	1	delong	unexpected	an	a	echo	bird	75	2	5.9	3.83	Surrounded by mountains, Lola shouted across the valley and heard	in the distance.	False	n/a	n/a
90.400390625	0.2	46285	255	filler_word	1	9	1	delong	unexpected	an	a	echo	bird	75	2	5.9	3.83	Surrounded by mountains, Lola shouted across the valley and heard	in the distance.	False	n/a	n/a
90.931640625	0.2	46557	203	a_unexpected	1	9	1	delong	unexpected	an	a	echo	bird	75	2	5.9	3.83	Surrounded by mountains, Lola shouted across the valley and heard	in the distance.	False	n/a	n/a
91.24609375	0.0	46718	105	item_marker	2	5	1	delong	unexpected	an	a	apology	cheque	89	0	6.23	3.77	Dale was very sorry for what he had said to Bernadette and he knew that he owed her	because she was still upset.	True	Was Dale sorry?	yes
91.30078125	0.0	46746	200	cloze_marker	2	5	1	delong	unexpected	an	a	apology	cheque	89	0	6.23	3.77	Dale was very sorry for what he had said to Bernadette and he knew that he owed her	because she was still upset.	True	Was Dale sorry?	yes
91.51171875	0.2	46854	206	noun_unexpected	2	5	1	delong	unexpected	an	a	apology	cheque	89	0	6.23	3.77	Dale was very sorry for what he had said to Bernadette and he knew that he owed her	because she was still upset.	True	Was Dale sorry?	yes
91.828125	0.0	47016	105	item_marker	3	5	1	delong	unexpected	an	a	apology	cheque	89	0	6.23	3.77	Dale was very sorry for what he had said to Bernadette and he knew that he owed her	because she was still upset.	True	Was Dale sorry?	yes
91.8828125	0.0	47044	200	cloze_marker	3	5	1	delong	unexpected	an	a	apology	cheque	89	0	6.23	3.77	Dale was very sorry for what he had said to Bernadette and he knew that he owed her	because she was still upset.	True	Was Dale sorry?	yes
92.091796875	0.2	47151	255	filler_word	3	5	1	delong	unexpected	an	a	apology	cheque	89	0	6.23	3.77	Dale was very sorry for what he had said to Bernadette and he knew that he owed her	because she was still upset.	True	Was Dale sorry?	yes
92.623046875	0.2	47423	255	filler_word	3	5	1	delong	unexpected	an	a	apology	cheque	89	0	6.23	3.77	Dale was very sorry for what he had said to Bernadette and he knew that he owed her	because she was still upset.	True	Was Dale sorry?	yes
93.15234375	0.2	47694	255	filler_word	3	5	1	delong	unexpected	an	a	apology	cheque	89	0	6.23	3.77	Dale was very sorry for what he had said to Bernadette and he knew that he owed her	because she was still upset.	True	Was Dale sorry?	yes
93.68359375	0.2	47966	255	filler_word	3	5	1	delong	unexpected	an	a	apology	cheque	89	0	6.23	3.77	Dale was very sorry for what he had said to Bernadette and he knew that he owed her	because she was still upset.	True	Was Dale sorry?	yes
94.212890625	0.2	48237	208	final_unexpected	3	5	1	delong	unexpected	an	a	apology	cheque	89	0	6.23	3.77	Dale was very sorry for what he had said to Bernadette and he knew that he owed her	because she was still upset.	True	Was Dale sorry?	yes
98.5078125	0.0	50436	251	question	3	5	1	delong	unexpected	an	a	apology	cheque	89	0	6.23	3.77	Dale was very sorry for what he had said to Bernadette and he knew that he owed her	because she was still upset.	True	Was Dale sorry?	yes
101.70703125	0.2	52074	255	filler_word	3	5	1	delong	unexpected	an	a	apology	cheque	89	0	6.23	3.77	Dale was very sorry for what he had said to Bernadette and he knew that he owed her	because she was still upset.	True	Was Dale sorry?	yes
102.23828125	0.2	52346	255	filler_word	3	5	1	delong	unexpected	an	a	apology	cheque	89	0	6.23	3.77	Dale was very sorry for what he had said to Bernadette and he knew that he owed her	because she was still upset.	True	Was Dale sorry?	yes
102.767578125	0.2	52617	255	filler_word	3	5	1	delong	unexpected	an	a	apology	cheque	89	0	6.23	3.77	Dale was very sorry for what he had said to Bernadette and he knew that he owed her	because she was still upset.	True	Was Dale sorry?	yes
103.298828125	0.2	52889	255	filler_word	3	5	1	delong	unexpected	an	a	apology	cheque	89	0	6.23	3.77	Dale was very sorry for what he had said to Bernadette and he knew that he owed her	because she was still upset.	True	Was Dale sorry?	yes
103.830078125	0.2	53161	255	filler_word	3	5	1	delong	unexpected	an	a	apology	cheque	89	0	6.23	3.77	Dale was very sorry for what he had said to Bernadette and he knew that he owed her	because she was still upset.	True	Was Dale sorry?	yes
104.359375	0.2	53432	255	filler_word	3	5	1	delong	unexpected	an	a	apology	cheque	89	0	6.23	3.77	Dale was very sorry for what he had said to Bernadette and he knew that he owed her	because she was still upset.	True	Was Dale sorry?	yes
104.890625	0.2	53704	255	filler_word	3	5	1	delong	unexpected	an	a	apology	cheque	89	0	6.23	3.77	Dale was very sorry for what he had said to Bernadette and he knew that he owed her	because she was still upset.	True	Was Dale sorry?	yes
105.419921875	0.2	53975	255	filler_word	3	5	1	delong	unexpected	an	a	apology	cheque	89	0	6.23	3.77	Dale was very sorry for what he had said to Bernadette and he knew that he owed her	because she was still upset.	True	Was Dale sorry?	yes
105.951171875	0.2	54247	255	filler_word	3	5	1	delong	unexpected	an	a	apology	cheque	89	0	6.23	3.77	Dale was very sorry for what he had said to Bernadette and he knew that he owed her	because she was still upset.	True	Was Dale sorry?	yes
106.482421875	0.2	54519	255	filler_word	3	5	1	delong	unexpected	an	a	apology	cheque	89	0	6.23	3.77	Dale was very sorry for what he had said to Bernadette and he knew that he owed her	because she was still upset.	True	Was Dale sorry?	yes
107.01171875	0.2	54790	255	filler_word	3	5	1	delong	unexpected	an	a	apology	cheque	89	0	6.23	3.77	Dale was very sorry for what he had said to Bernadette and he knew that he owed her	because she was still upset.	True	Was Dale sorry?	yes
107.54296875	0.2	55062	255	filler_word	3	5	1	delong	unexpected	an	a	apology	cheque	89	0	6.23	3.77	Dale was very sorry for what he had said to Bernadette and he knew that he owed her	because she was still upset.	True	Was Dale sorry?	yes
108.07421875	0.2	55334	255	filler_word	3	5	1	delong	unexpected	an	a	apology	cheque	89	0	6.23	3.77	Dale was very sorry for what he had said to Bernadette and he knew that he owed her	because she was still upset.	True	Was Dale sorry?	yes
108.603515625	0.2	55605	255	filler_word	3	5	1	delong	unexpected	an	a	apology	cheque	89	0	6.23	3.77	Dale was very sorry for what he had said to Bernadette and he knew that he owed her	because she was still upset.	True	Was Dale sorry?	yes
109.134765625	0.2	55877	255	filler_word	3	5	1	delong	unexpected	an	a	apology	cheque	89	0	6.23	3.77	Dale was very sorry for what he had said to Bernadette and he knew that he owed her	because she was still upset.	True	Was Dale sorry?	yes
109.6640625	0.2	56148	255	filler_word	3	5	1	delong	unexpected	an	a	apology	cheque	89	0	6.23	3.77	Dale was very sorry for what he had said to Bernadette and he knew that he owed her	because she was still upset.	True	Was Dale sorry?	yes
110.1953125	0.2	56420	255	filler_word	3	5	1	delong	unexpected	an	a	apology	cheque	89	0	6.23	3.77	Dale was very sorry for what he had said to Bernadette and he knew that he owed her	because she was still upset.	True	Was Dale sorry?	yes
110.7265625	0.2	56692	255	filler_word	3	5	1	delong	unexpected	an	a	apology	cheque	89	0	6.23	3.77	Dale was very sorry for what he had said to Bernadette and he knew that he owed her	because she was still upset.	True	Was Dale sorry?	yes
111.255859375	0.2	56963	203	a_unexpected	3	5	1	delong	unexpected	an	a	apology	cheque	89	0	6.23	3.77	Dale was very sorry for what he had said to Bernadette and he knew that he owed her	because she was still upset.	True	Was Dale sorry?	yes
111.572265625	0.0	57125	101	item_marker	4	1	1	delong	unexpected	an	a	apple	carrot	82	0	4.87	2.23	The old wives' tale says that if you want to keep the doctor away then you should eat	a day.	False	n/a	n/a
111.626953125	0.0	57153	200	cloze_marker	4	1	1	delong	unexpected	an	a	apple	carrot	82	0	4.87	2.23	The old wives' tale says that if you want to keep the doctor away then you should eat	a day.	False	n/a	n/a
111.8359375	0.2	57260	206	noun_unexpected	4	1	1	delong	unexpected	an	a	apple	carrot	82	0	4.87	2.23	The old wives' tale says that if you want to keep the doctor away then you should eat	a day.	False	n/a	n/a
112.15234375	0.0	57422	101	item_marker	5	1	1	delong	unexpected	an	a	apple	carrot	82	0	4.87	2.23	The old wives' tale says that if you want to keep the doctor away then you should eat	a day.	False	n/a	n/a
112.20703125	0.0	57450	200	cloze_marker	5	1	1	delong	unexpected	an	a	apple	carrot	82	0	4.87	2.23	The old wives' tale says that if you want to keep the doctor away then you should eat	a day.	False	n/a	n/a
112.41796875	0.2	57558	255	filler_word	5	1	1	delong	unexpected	an	a	apple	carrot	82	0	4.87	2.23	The old wives' tale says that if you want to keep the doctor away then you should eat	a day.	False	n/a	n/a
